Designator,Mid X,Mid Y,Rotation,Layer
C1,125.222,-58.547,90.0,top
C10,108.966,-81.534,270.0,top
C11,122.428,-89.154,0.0,bottom
C12,127.508,-89.154,0.0,bottom
C13,130.937,-91.948,270.0,bottom
C14,132.207,-79.883,270.0,bottom
C15,132.207,-74.422,270.0,bottom
C16,132.207,-69.596,270.0,bottom
C17,127.127,-63.119,0.0,top
C18,121.285,-63.119,0.0,top
C19,116.459,-63.119,0.0,top
C2,110.998,-68.961,90.0,top
C20,115.951,-79.947,270.0,bottom
C21,129.413,-67.056,180.0,bottom
C22,129.413,-68.707,180.0,bottom
C23,110.9472,-73.66,270.0,top
C24,108.966,-78.486,270.0,top
C25,144.907,-75.285,90.0,bottom
C26,146.685,-75.298,90.0,bottom
C27,148.463,-75.298,90.0,bottom
C28,161.6326,-66.1924,180.0,top
C29,159.7152,-74.5744,180.0,top
C3,110.998,-73.66,90.0,bottom
C30,159.7152,-76.3524,180.0,top
C31,139.842904,-60.325,0.0,bottom
C32,139.842904,-63.627,0.0,bottom
C33,157.1752,-58.801,270.0,top
C34,147.828,-61.722,180.0,bottom
C35,151.13,-54.737,0.0,top
C36,148.336,-64.529,270.0,bottom
C37,139.446,-66.929,0.0,bottom
C38,148.336,-67.704,270.0,bottom
C39,138.43,-69.215,90.0,bottom
C4,110.998,-81.534,270.0,top
C40,148.336,-70.866,270.0,bottom
C41,153.797,-74.917,270.0,top
C42,153.4668,-74.9424,270.0,bottom
C43,139.7,-73.152,0.0,bottom
C44,139.7,-74.7776,180.0,bottom
C45,161.6326,-64.5414,180.0,top
C46,161.5818,-54.8894,180.0,top
C47,161.5818,-56.5404,180.0,top
C48,167.119,-76.3524,0.0,top
C49,167.119,-74.5744,0.0,top
C5,114.922,-89.154,180.0,top
C50,161.2262,-84.7598,180.0,top
C51,161.2262,-86.4108,180.0,top
C52,161.3278,-94.5134,180.0,top
C53,161.3278,-96.1644,180.0,top
C54,140.081,-80.772,180.0,top
C55,138.049,-81.788,270.0,bottom
C56,150.622,-99.568,90.0,top
C57,151.003,-81.661,90.0,top
C58,154.7876,-79.502,270.0,top
C59,148.336,-87.389,270.0,bottom
C6,129.3876,-51.054,180.0,top
C60,140.0556,-88.9,0.0,bottom
C61,148.336,-90.564,270.0,bottom
C62,139.446,-98.298,180.0,bottom
C63,148.336,-93.726,270.0,bottom
C64,153.035,-97.142,270.0,top
C65,152.908,-97.155,270.0,bottom
C66,137.541,-100.33,90.0,top
C67,141.097,-100.343004,270.0,top
C68,145.034,-98.412,90.0,bottom
C69,146.685,-98.412,90.0,bottom
C7,122.301,-58.547,90.0,top
C70,148.336,-98.412,90.0,bottom
C75,125.388401,-93.726,0.0,top
C76,116.8908,-84.0102,90.0,bottom
C77,122.4788,-84.0102,90.0,bottom
C79,110.63,-89.281,180.0,top
C8,121.7168,-69.3928,180.0,bottom
C9,109.093,-68.961,90.0,top
D1,149.9616,-58.8264,0.0,top
D2,148.4884,-79.5528,90.0,top
D3,115.4684,-54.5084,180.0,top
D4,115.4684,-54.5084,0.0,bottom
D5,111.252,-77.089,0.0,top
D6,120.142,-55.626,180.0,top
J1,111.125,-49.403,90.0,top
J2,137.7188,-48.26,180.0,top
J4,105.9688,-86.1926,180.0,top
J5,130.038,-101.981,270.0,top
L1,144.6276,-57.912,180.0,top
L2,144.78,-80.3656,180.0,top
PS1,129.667,-56.261,270.0,top
Q1,162.179,-51.562,0.0,top
Q10,175.133,-81.407,0.0,top
Q11,175.133,-91.242,0.0,top
Q12,175.133,-101.219,0.0,top
Q2,162.052,-61.468,0.0,top
Q3,161.925,-71.303,0.0,top
Q4,175.26,-51.562,0.0,top
Q5,175.26,-61.468,0.0,top
Q6,175.26,-71.303,0.0,top
Q7,161.798,-81.407,0.0,top
Q8,161.925,-91.257,0.0,top
Q9,161.925,-101.219,0.0,top
R1,112.1664,-61.3664,0.0,top
R10,155.067,-67.691,180.0,bottom
R11,115.951,-76.773,90.0,bottom
R12,117.602,-73.534,90.0,bottom
R13,117.602,-76.772,90.0,bottom
R14,156.464,-74.422,180.0,top
R15,119.253,-73.533,90.0,bottom
R16,150.749,-77.216,90.0,bottom
R17,119.253,-76.708,90.0,bottom
R18,140.018,-84.074,180.0,top
R19,143.637,-82.804,0.0,bottom
R2,139.827,-61.976,180.0,bottom
R20,140.081,-82.423,0.0,top
R21,140.0556,-85.725,180.0,top
R22,140.0556,-85.4964,180.0,bottom
R23,140.0556,-87.1728,0.0,bottom
R24,124.206,-78.232,270.0,bottom
R25,153.797,-94.488,0.0,top
R26,153.797,-91.948,270.0,bottom
R27,124.206,-75.057,270.0,bottom
R28,122.555,-78.232,270.0,bottom
R29,122.555,-75.057,270.0,bottom
R3,139.827,-61.087,0.0,top
R30,153.734,-99.568,0.0,top
R31,120.904,-78.232,270.0,bottom
R32,147.32,-99.174,0.0,top
R33,120.904,-75.057,270.0,bottom
R34,157.226,-51.633,0.0,bottom
R35,157.226,-61.468,180.0,bottom
R36,157.226,-71.303,180.0,top
R37,169.164,-55.753,0.0,bottom
R38,171.196,-64.897,180.0,bottom
R39,171.196,-75.057,180.0,bottom
R4,139.827,-59.436,0.0,top
R40,157.607,-55.88,270.0,bottom
R41,157.607,-65.405,270.0,bottom
R42,157.607,-71.628,90.0,bottom
R43,157.099,-81.407,0.0,bottom
R44,157.226,-91.257,180.0,top
R45,157.226,-101.219,180.0,top
R46,167.894,-85.09,0.0,bottom
R47,170.942,-94.488,180.0,bottom
R48,170.942,-96.718,180.0,bottom
R49,156.337,-85.09,180.0,bottom
R5,145.161,-60.135,90.0,bottom
R50,157.353,-93.8765,270.0,bottom
R51,171.069,-101.092,270.0,bottom
R52,143.8656,-53.4924,0.0,top
R53,147.9296,-53.4924,0.0,top
R54,129.413,-49.403,0.0,top
R55,134.62,-61.722,90.0,bottom
R56,132.842,-61.722,90.0,bottom
R57,134.874,-55.372,180.0,top
R58,177.419,-65.532,180.0,bottom
R59,177.292,-55.499,180.0,bottom
R6,139.827,-62.738,0.0,top
R60,177.292,-95.377,180.0,bottom
R61,177.165,-85.217,180.0,bottom
R62,110.617,-85.979,180.0,top
R63,110.512382,-83.439,0.0,bottom
R64,110.512382,-85.09,0.0,bottom
R65,109.982,-79.248,0.0,bottom
R66,118.618,-60.452,270.0,bottom
R7,139.827,-64.262,0.0,top
R71,118.6688,-84.0102,90.0,bottom
R72,120.7008,-84.0102,90.0,bottom
R8,115.951,-73.534,90.0,bottom
R9,153.6192,-71.12,180.0,bottom
SW1,106.2492,-61.9705,90.0,top
TH1,179.832,-75.946,90.0,top
TH2,140.843,-77.47,270.0,top
TP1,186.055,-51.562,0.0,top
TP2,186.055,-61.468,0.0,top
TP3,186.055,-71.374,0.0,top
TP4,186.055,-81.407,0.0,top
TP5,186.055,-91.186,0.0,top
TP6,186.055,-101.219,0.0,top
U1,123.952,-76.2,0.0,top
U2,146.812,-68.326,0.0,top
U3,146.812,-90.678,0.0,top
U5,118.41,-101.637,180.0,top
Y1,107.442,-73.8124,270.0,top
